name	 address_1	 address_2	 postal_code_name	 postal_code_suffix	 phone_number	 latitude	 longitude	 radius
Caribou Coffee	100 5th St	 	55402			44.978348	-93.268623	5
Caribou Coffee	100 6th St	 	55362			45.301521	-93.797798	5
Caribou Coffee	1004 Gateway Dr	 	55318			44.8039	-93.5773	5
